,global_sea_ice_extent,sea_temp_anomaly,total_ice_sheet_mass_change,global_mean_sea_level
2002-04-30,20.627266666666667,0.45826,27.30318181818182,0.0
2002-05-31,22.48216129032258,0.46104,49.320791788856305,-1.34
2002-06-30,23.95916666666667,0.46607,-56.745,-1.69
2002-07-31,24.688870967741934,0.41203,-169.67818181818183,3.42
2002-08-31,23.66567741935484,0.43217,-257.39035190615834,8.99
2002-09-30,23.714499999999997,0.38129,-204.9867920585162,10.51
2002-10-31,26.027677419354838,0.43172,-171.37218020022243,13.12
2002-11-30,25.747700000000002,0.37075,-260.5348439568095,11.18
2002-12-31,23.39387096774194,0.45856,-242.5333211986382,6.7
2003-01-31,20.163548387096775,0.40723,-226.60421579532817,5.77
2003-02-28,18.981714285714286,0.43101,-327.926157635468,7.25
2003-03-31,19.92925806451613,0.45928,-249.651935483871,5.62
2003-04-30,21.720333333333333,0.40956,-104.00384615384615,5.28
2003-05-31,23.751870967741937,0.42237,-71.54083314534928,3.33
2003-06-30,25.589399999999998,0.45168,-198.39227272727277,2.17
2003-07-31,25.616741935483873,0.50108,-338.8332342333232,5.35
2003-08-31,24.518354838709676,0.5443,-466.2254949944383,8.37
2003-09-30,24.414399999999997,0.5387,-508.9375057471264,13.01
2003-10-31,26.046290322580646,0.51967,-458.90609566184645,14.33
2003-11-30,26.23486666666667,0.45715,-512.7709630790665,9.36
2003-12-31,23.151935483870968,0.37154,-622.7252541544476,9.48
2004-01-31,19.616935483870968,0.41977,-741.3055190615835,10.08
2004-02-29,18.497931034482757,0.43774,-838.5373269916765,6.0
2004-03-31,19.51877419354839,0.40905,-725.562597330367,6.97
2004-04-30,21.2671,0.47648,-662.5180574712643,6.69
2004-05-31,23.028451612903226,0.40329,-504.49662082448515,0.98
2004-06-30,25.227066666666666,0.35853,-540.0500780215953,2.72
2004-07-31,25.763870967741937,0.44986,-713.9757508342602,8.39
2004-08-31,24.86490322580645,0.49127,-732.456998685408,11.78
2004-09-30,24.903733333333335,0.49511,-749.2471818181818,15.56
2004-10-31,26.382225806451615,0.45565,-724.7155394883202,15.41
2004-11-30,26.4281,0.44815,-800.7857708115639,13.2
2004-12-31,22.78248387096774,0.40634,-861.7506667340815,13.64
2005-01-31,18.413290322580647,0.43095,-951.9261624026697,9.41
2005-02-28,17.342464285714286,0.39155,-980.359408866995,11.93
2005-03-31,18.768225806451614,0.43158,-891.5837903225806,12.28
2005-04-30,21.1218,0.44159,-754.9554166666667,10.47
2005-05-31,23.19990322580645,0.4514,-693.4823387096775,9.88
2005-06-30,24.453533333333333,0.48384,-711.1850944444444,10.42
2005-07-31,24.80658064516129,0.52069,-805.2200504263997,12.51
2005-08-31,24.223612903225806,0.55713,-997.0157208345973,14.46
2005-09-30,24.308566666666668,0.48167,-1000.0137666318357,18.63
2005-10-31,25.828774193548384,0.44736,-979.1618353726362,18.28
2005-11-30,26.5325,0.39722,-946.3909630790664,19.76
2005-12-31,21.907870967741935,0.33964,-988.1325385108032,16.79
2006-01-31,17.629129032258064,0.34451,-1068.6562513904337,12.39
2006-02-28,16.976357142857143,0.37563,-1090.5083743842365,11.46
2006-03-31,17.63558064516129,0.34957,-979.3426612903226,10.74
2006-04-30,19.916266666666665,0.39144,-951.1605833333333,8.8
2006-05-31,21.973612903225806,0.40319,-881.1238709677419,9.95
2006-06-30,24.264266666666664,0.43229,-874.7289494949493,12.12
2006-07-31,24.573967741935483,0.46082,-977.717701823575,16.02
2006-08-31,24.593258064516128,0.51417,-1035.7746442174805,16.38
2006-09-30,24.956533333333333,0.46953,-1097.8333159177985,22.64
2006-10-31,26.273709677419355,0.43699,-1156.4159621802003,21.8
2006-11-30,25.888566666666666,0.45868,-1200.9116645768027,21.05
2006-12-31,21.808806451612902,0.4498,-1335.1206249367985,17.63
2007-01-31,18.375612903225807,0.46563,-1479.0703448275863,14.19
2007-02-28,17.41785714285714,0.44534,-1452.6562315270935,14.23
2007-03-31,18.37690322580645,0.38179,-1398.9872580645163,13.9
2007-04-30,20.263466666666666,0.36389,-1345.0880000000002,14.08
2007-05-31,22.42748387096774,0.3543,-1217.4478309232481,10.98
2007-06-30,24.507366666666663,0.41045,-1247.9854332985024,12.3
2007-07-31,23.898612903225807,0.43251,-1421.8793137155762,12.7
2007-08-31,23.02422580645161,0.37653,-1570.3733646812957,16.44
2007-09-30,23.1279,0.3435,-1593.7340863810518,18.07
2007-10-31,24.547451612903224,0.29294,-1702.1166295884316,19.74
2007-11-30,25.6523,0.24176,-1848.6291539533263,20.95
2007-12-31,24.014483870967744,0.19153,-1901.990151346614,16.09
2008-01-31,20.300967741935484,0.20343,-2018.506785317019,14.94
2008-02-29,18.84796551724138,0.21072,-1971.3850823334415,12.3
2008-03-31,20.463354838709677,0.28252,-1999.8740664711634,12.61
2008-04-30,22.594233333333335,0.27825,-1882.968103448276,10.32
2008-05-31,24.02335483870968,0.31621,-1816.289538207436,13.3
2008-06-30,25.270000000000003,0.32443,-1896.3519599442702,17.01
2008-07-31,24.772774193548386,0.4195,-2107.484760845384,17.73
2008-08-31,23.55758064516129,0.46305,-2211.411856608353,20.26
2008-09-30,22.83246666666667,0.46463,-2163.055409090909,22.08
2008-10-31,25.343774193548388,0.38543,-2198.512825361513,24.06
2008-11-30,26.591,0.31264,-2147.1810198537096,22.37
2008-12-31,23.870225806451614,0.32474,-2168.5854424107592,20.03
2009-01-31,19.62106451612903,0.37007,-2223.195661846496,18.0
2009-02-28,17.802107142857142,0.31749,-2236.7824137931034,17.03
2009-03-31,19.42467741935484,0.35694,-2182.762822580645,18.5
2009-04-30,22.294133333333335,0.40047,-2129.37075,17.07
2009-05-31,24.112451612903225,0.46015,-2088.365,16.32
2009-06-30,25.227733333333333,0.58751,-2079.508333333333,17.19
2009-07-31,24.726774193548387,0.60909,-2112.4664627363736,20.09
2009-08-31,24.233548387096775,0.60766,-2307.230057302727,24.68
2009-09-30,24.222099999999998,0.48558,-2386.8939982584466,29.49
2009-10-31,25.218548387096774,0.51241,-2413.823726362625,31.35
2009-11-30,25.619566666666667,0.48595,-2405.38509056078,30.48
2009-12-31,22.93841935483871,0.56787,-2484.018288333839,26.58
2010-01-31,18.69716129032258,0.53401,-2625.3651056729695,22.69
2010-02-28,17.68692857142857,0.53686,-2618.063374384237,24.16
2010-03-31,18.983451612903224,0.54155,-2532.831693548387,22.95
2010-04-30,21.374166666666667,0.58411,-2586.3789166666666,21.23
2010-05-31,23.50535483870968,0.53885,-2605.85255839822,21.89
2010-06-30,24.9953,0.51644,-2747.47644723093,24.08
2010-07-31,24.996000000000002,0.57024,-3050.150156739812,23.78
2010-08-31,24.481967741935485,0.5357,-3197.983548050022,23.45
2010-09-30,23.663666666666668,0.45426,-3225.7598969000346,24.77
2010-10-31,25.63222580645161,0.38988,-3230.312269187987,25.8
2010-11-30,26.368866666666666,0.30676,-3258.161252873563,22.99
2010-12-31,23.102,0.31815,-3264.489101021337,20.33
2011-01-31,17.975677419354838,0.33312,-3293.325757575758,18.24
2011-02-28,16.882107142857144,0.35385,-3321.054424741925,18.3
2011-03-31,17.914354838709677,0.36599,-3326.5023573200992,15.75
