year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1850,1,-0.35138,0.14007,0.03096,0.09622,0.04578,0.08547,-0.453,-0.2695
1850,2,-0.34437,0.13852,0.03158,0.09198,0.04642,0.08703,-0.4475,-0.2615
1850,3,-0.58001,0.1506,0.03537,0.09765,0.04425,0.09968,-0.678,-0.5005
1850,4,-0.34222,0.13522,0.03352,0.09939,0.04384,0.07322,-0.439,-0.263
1850,5,-0.25093,0.12226,0.03314,0.092,0.03897,0.06218,-0.3375,-0.181
1850,6,-0.25486,0.13404,0.03182,0.09053,0.03927,0.08495,-0.341,-0.1825
1850,7,-0.20818,0.12351,0.03038,0.09017,0.03986,0.06791,-0.296,-0.136
1850,8,-0.31233,0.12127,0.03091,0.0904,0.03937,0.06348,-0.3995,-0.242
1850,9,-0.34318,0.11724,0.03077,0.09063,0.04264,0.05259,-0.4385,-0.2685
1850,10,-0.35998,0.12613,0.03089,0.09319,0.0468,0.06388,-0.4645,-0.2785
1850,11,-0.13705,0.12081,0.02987,0.09002,0.04775,0.05761,-0.2435,-0.0525
1850,12,-0.22955,0.12035,0.02944,0.0884,0.04598,0.06072,-0.3315,-0.1475
1851,1,-0.27433,0.1207,0.03131,0.09146,0.04495,0.05659,-0.374,-0.1955
1851,2,-0.29522,0.12595,0.03116,0.09136,0.04492,0.06729,-0.3935,-0.214
1851,3,-0.25086,0.12373,0.03219,0.09375,0.04502,0.05881,-0.35,-0.1705
1851,4,-0.42784,0.12816,0.03322,0.09826,0.04362,0.06136,-0.524,-0.3495
1851,5,-0.28696,0.12611,0.03461,0.09948,0.04085,0.05603,-0.377,-0.214
1851,6,-0.27375,0.13503,0.03375,0.0979,0.04183,0.0759,-0.3645,-0.1965
1851,7,-0.17794,0.12696,0.03217,0.09497,0.04125,0.06605,-0.268,-0.1025
1851,8,-0.239,0.12041,0.03179,0.09788,0.03741,0.05009,-0.3225,-0.174
1851,9,-0.10052,0.13389,0.03509,0.10124,0.03878,0.0703,-0.187,-0.0335
1851,10,-0.08082,0.1391,0.03406,0.10145,0.04365,0.07741,-0.178,-0.005
1851,11,0.08083,0.13796,0.03516,0.10166,0.04646,0.07283,-0.0235,0.1605
1851,12,0.00602,0.1342,0.03347,0.09708,0.0445,0.07406,-0.0925,0.0845
1852,1,-0.31058,0.13061,0.03219,0.09416,0.04328,0.07269,-0.406,-0.2285
1852,2,-0.43518,0.13057,0.03368,0.10029,0.04276,0.06345,-0.5295,-0.354
1852,3,-0.35715,0.12844,0.03327,0.09739,0.04301,0.06369,-0.451,-0.274
1852,4,-0.36138,0.12065,0.03327,0.09194,0.04156,0.05719,-0.4535,-0.2835
1852,5,-0.2173,0.11942,0.03025,0.08801,0.04023,0.0631,-0.306,-0.1405
1852,6,-0.04449,0.11382,0.02938,0.08783,0.03966,0.05296,-0.1295,0.033
1852,7,0.03457,0.1304,0.0581,0.08878,0.03899,0.065,-0.05,0.1105
1852,8,-0.22614,0.12832,0.04198,0.09595,0.03829,0.06349,-0.3105,-0.153
1852,9,-0.07795,0.12852,0.04944,0.09122,0.03937,0.06483,-0.165,-0.0055
1852,10,-0.11411,0.11835,0.03152,0.09193,0.0432,0.05192,-0.2105,-0.0365
1852,11,-0.0983,0.12174,0.03074,0.08801,0.04434,0.06453,-0.197,-0.016
1852,12,0.00734,0.12296,0.02979,0.08478,0.04241,0.07243,-0.086,0.0885
1853,1,-0.20432,0.11547,0.02891,0.08584,0.04135,0.05848,-0.2925,-0.1285
1853,2,-0.18183,0.11241,0.0269,0.07705,0.04276,0.06441,-0.2725,-0.103
1853,3,-0.0639,0.11301,0.0278,0.08026,0.04099,0.06227,-0.1505,0.0125
1853,4,-0.21128,0.11786,0.0286,0.07679,0.03954,0.07492,-0.2965,-0.1385
1853,5,-0.21797,0.11573,0.02716,0.07892,0.03914,0.06996,-0.3015,-0.1465
1853,6,-0.13847,0.1106,0.02604,0.07344,0.03825,0.06855,-0.2195,-0.0675
1853,7,-0.0932,0.10948,0.02704,0.07675,0.03802,0.0626,-0.1745,-0.023
1853,8,-0.19805,0.10796,0.02646,0.07711,0.03693,0.06037,-0.2765,-0.13
1853,9,-0.34993,0.11308,0.04619,0.07865,0.03527,0.05679,-0.4265,-0.287
1853,10,-0.38368,0.10457,0.02739,0.08137,0.03633,0.04738,-0.4625,-0.318
1853,11,-0.18185,0.10458,0.02818,0.07689,0.03804,0.05278,-0.2645,-0.114
1853,12,-0.30726,0.10625,0.02748,0.07641,0.0372,0.05754,-0.3875,-0.2415
1854,1,-0.22292,0.10368,0.02626,0.07559,0.03831,0.05365,-0.3045,-0.1515
1854,2,-0.26708,0.10135,0.02593,0.0752,0.03873,0.04945,-0.3505,-0.196
1854,3,-0.22377,0.10077,0.02498,0.07313,0.03902,0.05157,-0.3075,-0.1515
1854,4,-0.26744,0.10438,0.02665,0.07526,0.03815,0.05536,-0.349,-0.1965
1854,5,-0.26123,0.10325,0.02688,0.07701,0.03746,0.05103,-0.3405,-0.1905
1854,6,-0.17915,0.10705,0.0257,0.07692,0.03647,0.05961,-0.2555,-0.1095
1854,7,-0.33817,0.10474,0.02618,0.07968,0.0346,0.05235,-0.4125,-0.274
1854,8,-0.21838,0.09364,0.02322,0.0685,0.03504,0.04805,-0.294,-0.154
1854,9,-0.13339,0.10116,0.02491,0.07122,0.0354,0.05732,-0.2105,-0.0695
1854,10,-0.28038,0.09669,0.02305,0.06945,0.03752,0.05086,-0.3625,-0.2125
1854,11,-0.34462,0.09324,0.0236,0.0656,0.03698,0.04967,-0.4255,-0.278
1854,12,-0.4846,0.10701,0.02327,0.07132,0.03712,0.06667,-0.565,-0.4175
1855,1,-0.17154,0.09841,0.02282,0.06634,0.03845,0.05731,-0.2525,-0.101
1855,2,-0.18817,0.09958,0.02149,0.07129,0.03796,0.05413,-0.2675,-0.1165
1855,3,-0.19031,0.09921,0.02307,0.06682,0.03726,0.0588,-0.2685,-0.121
1855,4,-0.30872,0.10133,0.02185,0.07055,0.0378,0.05818,-0.3875,-0.2375
1855,5,-0.43554,0.09886,0.02285,0.07277,0.03575,0.05175,-0.51,-0.3675
1855,6,-0.32945,0.09779,0.02256,0.06593,0.03531,0.05882,-0.402,-0.2615
1855,7,-0.31505,0.09161,0.02158,0.06986,0.03468,0.04295,-0.386,-0.248
1855,8,-0.17222,0.0999,0.01885,0.06888,0.03613,0.0598,-0.2465,-0.103
1855,9,-0.27445,0.1018,0.02129,0.06934,0.03437,0.06261,-0.3475,-0.212
1855,10,-0.18086,0.09958,0.01977,0.06966,0.03608,0.05805,-0.2575,-0.115
1855,11,-0.18258,0.10012,0.02107,0.07099,0.03722,0.05618,-0.2615,-0.115
1855,12,-0.15191,0.10898,0.02106,0.06878,0.0375,0.07278,-0.2315,-0.084
1856,1,-0.11203,0.10099,0.01995,0.06987,0.03796,0.05898,-0.192,-0.0425
1856,2,-0.23448,0.09297,0.01979,0.06737,0.03848,0.04726,-0.315,-0.1625
1856,3,-0.19498,0.0939,0.02058,0.06634,0.03618,0.0518,-0.27,-0.1265
1856,4,-0.34289,0.09193,0.01941,0.0682,0.03603,0.04611,-0.418,-0.275
1856,5,-0.11416,0.09289,0.01919,0.06565,0.03559,0.05179,-0.187,-0.046
1856,6,-0.31457,0.09388,0.0202,0.06938,0.03397,0.04938,-0.385,-0.249
1856,7,-0.37882,0.09894,0.01919,0.07424,0.03492,0.05187,-0.45,-0.3115
1856,8,-0.27994,0.09813,0.01911,0.07031,0.03385,0.05635,-0.35,-0.216
1856,9,-0.32717,0.09345,0.01934,0.06259,0.03464,0.05693,-0.4,-0.2625
1856,10,-0.35628,0.09528,0.01956,0.06679,0.03507,0.0548,-0.43,-0.2915
1856,11,-0.45266,0.0953,0.01963,0.06917,0.03721,0.05027,-0.531,-0.3845
1856,12,-0.55614,0.09581,0.01902,0.0645,0.03774,0.05686,-0.636,-0.487
1857,1,-0.4235,0.09355,0.01979,0.06114,0.03556,0.05794,-0.4985,-0.357
1857,2,-0.37269,0.09377,0.01898,0.06772,0.03615,0.05039,-0.4485,-0.3055
1857,3,-0.54736,0.09516,0.01951,0.07113,0.03362,0.04986,-0.6185,-0.484
1857,4,-0.47706,0.09754,0.01903,0.06652,0.03462,0.05939,-0.5485,-0.4105
1857,5,-0.43257,0.09397,0.01853,0.06587,0.03396,0.05473,-0.503,-0.3665
1857,6,-0.33721,0.09476,0.01932,0.06572,0.03285,0.05665,-0.4045,-0.273
1857,7,-0.52979,0.09429,0.01999,0.06643,0.03014,0.0563,-0.593,-0.4725
1857,8,-0.37461,0.09585,0.01891,0.06629,0.03093,0.05897,-0.4395,-0.3175
1857,9,-0.32948,0.09412,0.02171,0.06209,0.03237,0.05902,-0.398,-0.267
1857,10,-0.41461,0.09604,0.018,0.07094,0.03245,0.05305,-0.483,-0.351
1857,11,-0.50949,0.09874,0.02071,0.06484,0.03511,0.06231,-0.5835,-0.4415
1857,12,-0.38063,0.10421,0.01917,0.06974,0.03433,0.06671,-0.453,-0.3135
1858,1,-0.45996,0.09925,0.01899,0.06686,0.03297,0.06271,-0.5275,-0.398
1858,2,-0.40697,0.1019,0.02025,0.0699,0.03477,0.06227,-0.478,-0.3415
1858,3,-0.43079,0.09617,0.01988,0.06772,0.03262,0.0566,-0.4975,-0.369
1858,4,-0.53212,0.10167,0.02199,0.07725,0.03283,0.05298,-0.598,-0.468
1858,5,-0.63264,0.10493,0.02249,0.07624,0.0328,0.06013,-0.698,-0.568
1858,6,-0.55077,0.10465,0.02191,0.07414,0.03289,0.06239,-0.616,-0.486
1858,7,-0.34396,0.1057,0.02107,0.07071,0.03205,0.06857,-0.406,-0.28
1858,8,-0.26664,0.10057,0.02027,0.07338,0.0319,0.05746,-0.3305,-0.2045
1858,9,-0.30347,0.09942,0.02176,0.07352,0.03185,0.05469,-0.3685,-0.243
1858,10,-0.22162,0.10005,0.02226,0.07578,0.03387,0.05123,-0.2915,-0.156
1858,11,-0.27562,0.1031,0.02131,0.07252,0.03535,0.06056,-0.349,-0.205
1858,12,-0.40502,0.10405,0.02097,0.07828,0.03528,0.0549,-0.478,-0.3355
1859,1,-0.36709,0.10183,0.0209,0.07237,0.03569,0.05849,-0.4395,-0.296
1859,2,-0.31828,0.09863,0.02255,0.06735,0.03229,0.06034,-0.383,-0.2565
1859,3,-0.35083,0.10126,0.02202,0.07328,0.03294,0.05756,-0.417,-0.2875
1859,4,-0.16511,0.10318,0.02227,0.07792,0.03316,0.05458,-0.2315,-0.102
1859,5,-0.22342,0.09822,0.02259,0.07841,0.03212,0.04422,-0.287,-0.16
1859,6,-0.22587,0.10164,0.02197,0.07825,0.03078,0.0527,-0.2865,-0.165
1859,7,-0.36582,0.09881,0.02312,0.06876,0.03107,0.05946,-0.4265,-0.304
1859,8,-0.2069,0.10463,0.02096,0.07433,0.02904,0.06435,-0.2655,-0.1505
1859,9,-0.44393,0.10142,0.02359,0.07682,0.03076,0.05368,-0.507,-0.3815
1859,10,-0.26037,0.10191,0.02215,0.07262,0.03323,0.0593,-0.328,-0.193
1859,11,-0.28356,0.10433,0.02354,0.07562,0.03284,0.05945,-0.3505,-0.218
1859,12,-0.1364,0.09944,0.02276,0.0692,0.0335,0.05883,-0.2045,-0.0695
1860,1,-0.17846,0.09984,0.02209,0.07178,0.03134,0.05783,-0.2405,-0.117
1860,2,-0.23669,0.10775,0.02425,0.07392,0.03401,0.06634,-0.3045,-0.169
1860,3,-0.20016,0.10535,0.02615,0.07584,0.03123,0.06072,-0.262,-0.1395
1860,4,-0.21936,0.09864,0.02402,0.07095,0.0323,0.05546,-0.2825,-0.156
1860,5,-0.28384,0.09753,0.02417,0.07274,0.02912,0.05281,-0.34,-0.2255
1860,6,-0.28902,0.10826,0.0244,0.07634,0.02975,0.06642,-0.348,-0.2305
1860,7,-0.26059,0.10742,0.02425,0.07537,0.02683,0.06746,-0.314,-0.208
1860,8,-0.26757,0.1091,0.02367,0.07596,0.02894,0.06881,-0.325,-0.2115
1860,9,-0.12231,0.11421,0.02495,0.07084,0.02974,0.08073,-0.182,-0.059
1860,10,-0.27847,0.10687,0.02364,0.07528,0.03092,0.0651,-0.3405,-0.213
1860,11,-0.26489,0.10859,0.02341,0.07805,0.02966,0.06536,-0.3245,-0.203
1860,12,-0.24107,0.10821,0.02589,0.07087,0.03256,0.07041,-0.3065,-0.1725
1861,1,-0.30068,0.1123,0.02497,0.08116,0.03135,0.06646,-0.3625,-0.2355
1861,2,-0.56882,0.11799,0.02409,0.0857,0.02977,0.07149,-0.6275,-0.5085
1861,3,-0.59085,0.1311,0.02948,0.09678,0.03077,0.07748,-0.6505,-0.5295
1861,4,-0.15795,0.12261,0.03073,0.07355,0.03144,0.08769,-0.2185,-0.096
1861,5,-0.52823,0.12242,0.03479,0.06499,0.03259,0.09214,-0.591,-0.463
1861,6,-0.33718,0.13357,0.03152,0.0612,0.02948,0.1106,-0.395,-0.2765
1861,7,-0.43626,0.12265,0.02695,0.06744,0.03122,0.09377,-0.497,-0.372
1861,8,-0.24761,0.11955,0.02641,0.06602,0.03071,0.09107,-0.3075,-0.1865
1861,9,-0.288,0.12802,0.02838,0.08009,0.02996,0.09094,-0.3475,-0.225
1861,10,-0.34319,0.12591,0.02736,0.07438,0.03163,0.09258,-0.4055,-0.2765
1861,11,-0.29902,0.13092,0.0281,0.07794,0.02962,0.09694,-0.3575,-0.2365
1861,12,-0.2736,0.12435,0.02661,0.07167,0.02707,0.09427,-0.3275,-0.2165
1862,1,-0.45068,0.12808,0.02812,0.08547,0.02871,0.08651,-0.507,-0.393
1862,2,-0.54476,0.13304,0.02948,0.09253,0.02771,0.08661,-0.598,-0.4875
1862,3,-0.35149,0.11754,0.03042,0.06084,0.02949,0.09122,-0.4095,-0.291
1862,4,-0.22309,0.11705,0.03075,0.07693,0.03142,0.07649,-0.2825,-0.158
1862,5,-0.16218,0.12051,0.02736,0.07606,0.03033,0.08408,-0.221,-0.101
1862,6,-0.32514,0.11344,0.02517,0.07303,0.02761,0.07836,-0.379,-0.268
1862,7,-0.3435,0.11812,0.02753,0.06942,0.02767,0.08723,-0.398,-0.286
1862,8,-0.67483,0.12387,0.0249,0.07185,0.0284,0.09357,-0.7305,-0.6165
1862,9,-0.49544,0.11462,0.02656,0.07501,0.02751,0.07777,-0.5505,-0.438
1862,10,-0.30671,0.11262,0.02812,0.07385,0.02786,0.07525,-0.3625,-0.2495
1862,11,-0.42173,0.13043,0.02977,0.08059,0.02722,0.09428,-0.4765,-0.3665
1862,12,-0.46687,0.12553,0.02719,0.07696,0.02675,0.09155,-0.5205,-0.411
1863,1,-0.40598,0.1278,0.02671,0.08053,0.02817,0.09132,-0.461,-0.3465
1863,2,-0.29728,0.11974,0.02882,0.07654,0.02821,0.08279,-0.352,-0.2385
1863,3,-0.21599,0.12424,0.02733,0.06729,0.03036,0.09612,-0.275,-0.1485
1863,4,-0.24056,0.11759,0.02833,0.07222,0.03077,0.08285,-0.2995,-0.178
1863,5,-0.44893,0.11508,0.02609,0.06581,0.02915,0.08592,-0.504,-0.3895
1863,6,-0.40003,0.11868,0.02524,0.06293,0.03037,0.09254,-0.4575,-0.3365
1863,7,-0.32561,0.13323,0.02729,0.06713,0.02752,0.10836,-0.3785,-0.2665
1863,8,-0.31664,0.12476,0.02661,0.05894,0.02921,0.10262,-0.373,-0.254
1863,9,-0.41119,0.12934,0.02782,0.06378,0.02836,0.10527,-0.466,-0.3495
1863,10,-0.25653,0.13136,0.02802,0.05445,0.02958,0.11238,-0.3145,-0.1925
1863,11,-0.35723,0.13437,0.03093,0.06005,0.03076,0.112,-0.417,-0.2925
1863,12,-0.27198,0.12088,0.02797,0.06013,0.02752,0.09725,-0.3265,-0.2115
1864,1,-0.63624,0.11717,0.02768,0.05852,0.0274,0.09374,-0.687,-0.579
1864,2,-0.57768,0.11042,0.02849,0.06334,0.02804,0.08114,-0.6295,-0.52
1864,3,-0.52768,0.10908,0.0267,0.05176,0.02851,0.08772,-0.5805,-0.468
1864,4,-0.44513,0.11958,0.0279,0.05556,0.02923,0.09788,-0.5,-0.381
1864,5,-0.22121,0.12278,0.02789,0.06523,0.02825,0.09614,-0.2735,-0.1605
1864,6,-0.29662,0.10834,0.02512,0.05501,0.02755,0.08557,-0.348,-0.2365
1864,7,-0.20696,0.11266,0.02517,0.06256,0.02671,0.08621,-0.257,-0.1475
1864,8,-0.3553,0.12027,0.02608,0.06839,0.02664,0.09164,-0.405,-0.2975
1864,9,-0.48193,0.13067,0.02786,0.06114,0.02805,0.10851,-0.534,-0.424
1864,10,-0.39487,0.11945,0.02845,0.05705,0.02756,0.09719,-0.447,-0.333
1864,11,-0.08859,0.11001,0.02592,0.06459,0.02821,0.08039,-0.142,-0.0255
1864,12,-0.19106,0.12031,0.02695,0.06118,0.02737,0.09621,-0.243,-0.1295
1865,1,-0.13545,0.1147,0.02604,0.06579,0.02768,0.08593,-0.187,-0.0765
1865,2,-0.0913,0.12373,0.02905,0.05828,0.02629,0.10187,-0.1405,-0.0325
1865,3,-0.10128,0.11605,0.03231,0.05483,0.02684,0.09326,-0.151,-0.0415
1865,4,-0.11344,0.11661,0.03031,0.05497,0.02876,0.09398,-0.1665,-0.05
1865,5,-0.3277,0.12151,0.0283,0.0514,0.02797,0.10266,-0.379,-0.268
1865,6,-0.24337,0.12214,0.0267,0.05673,0.02672,0.10135,-0.292,-0.1845
1865,7,-0.22369,0.12127,0.03177,0.05772,0.02768,0.09798,-0.2745,-0.1625
1865,8,-0.21187,0.12889,0.02935,0.05234,0.02653,0.11094,-0.261,-0.1515
1865,9,-0.26551,0.12798,0.03116,0.0597,0.02705,0.10541,-0.3155,-0.2065
1865,10,-0.2344,0.13882,0.03063,0.05488,0.02733,0.12072,-0.2855,-0.1745
1865,11,-0.37474,0.12283,0.03076,0.05024,0.02561,0.10469,-0.4225,-0.3155
1865,12,-0.2359,0.11772,0.02689,0.06524,0.02459,0.09096,-0.2815,-0.1805
1866,1,-0.246,0.11091,0.02856,0.05035,0.02704,0.09066,-0.295,-0.187
1866,2,-0.03243,0.11539,0.03037,0.05799,0.02828,0.09071,-0.0835,0.031
1866,3,-0.42051,0.11968,0.03154,0.0668,0.02858,0.08972,-0.4725,-0.3555
1866,4,-0.31759,0.11817,0.0289,0.05524,0.02718,0.09664,-0.3665,-0.2555
1866,5,-0.37466,0.12083,0.02978,0.05451,0.02749,0.09993,-0.4235,-0.3135
1866,6,0.0086,0.12121,0.02926,0.05841,0.0271,0.09843,-0.0395,0.0705
1866,7,-0.06607,0.12788,0.02864,0.06029,0.02584,0.10597,-0.1125,-0.0065
1866,8,-0.18931,0.12648,0.02784,0.05559,0.02657,0.10689,-0.2375,-0.1285
1866,9,-0.34326,0.13306,0.02732,0.06449,0.02752,0.10974,-0.3925,-0.283
1866,10,-0.09531,0.13496,0.03112,0.08075,0.0279,0.09973,-0.1455,-0.0345
1866,11,-0.0837,0.12529,0.02884,0.06735,0.02652,0.09811,-0.1325,-0.0235
1866,12,-0.33273,0.12785,0.03337,0.06948,0.02542,0.09879,-0.3795,-0.276
1867,1,-0.16111,0.13471,0.03169,0.06613,0.02793,0.1095,-0.213,-0.0995
